QueryName,ResponseName,ReleaseDate,RequiredAge,Metacritic,RecommendationCount,ScreenshotCount,SteamSpyOwners,SteamSpyOwnersVariance,SteamSpyPlayersEstimate,SteamSpyPlayersVariance,IsFree,FreeVerAvail,PurchaseAvail,SubscriptionAvail,PlatformWindows,PlatformLinux,PlatformMac,GenreIsEarlyAccess,GenreIsFreeToPlay,PriceCurrency,PriceInitial,PriceFinal
Counter-Strike,Counter-Strike,Nov 1 2000,0,88,68991,13,13033334,92789,9140731,78136,False,False,True,False,True,True,True,False,False,USD,9.99,9.99
Team Fortress Classic,Team Fortress Classic,Apr 1 1999,0,0,2439,5,5399140,60368,753627,22699,False,False,True,False,True,True,True,False,False,USD,4.99,4.99
Day of Defeat,Day of Defeat,May 1 2003,0,79,2319,5,7621102,71499,1709740,34145,False,False,True,False,True,True,True,False,False,USD,4.99,4.99
Deathmatch Classic,Deathmatch Classic,Jun 1 2001,0,0,888,4,7498965,70936,789676,23235,False,False,True,False,True,True,True,False,False,USD,4.99,4.99
Half-Life: Opposing Force,Half-Life: Opposing Force,Nov 1 1999,0,0,2934,5,5399499,60370,705741,21968,False,False,True,False,True,True,True,False,False,USD,4.99,4.99
Ricochet,Ricochet,Nov 1 2000,0,0,1965,4,7488563,70888,843481,24011,False,False,True,False,True,True,True,False,False,USD,4.99,4.99
Half-Life,Half-Life,Nov 8 1998,0,96,12486,11,5927504,63206,2268772,39303,False,False,True,False,True,True,True,False,False,USD,9.99,9.99
Counter-Strike: Condition Zero,Counter-Strike: Condition Zero,Mar 1 2004,0,65,7067,8,10489261,83543,4127910,52878,False,False,True,False,True,True,True,False,False,USD,9.99,9.99
Counter-Strike: Condition Zero,Counter-Strike: Condition Zero,Mar 1 2004,0,65,7067,8,10489261,83543,4127910,52878,False,False,True,False,True,True,True,False,False,USD,9.99,9.99
Half-Life: Blue Shift,Half-Life: Blue Shift,Jun 1 2001,0,71,2219,5,5368650,60199,662517,21286,False,False,True,False,True,True,True,False,False,USD,4.99,4.99
Half-Life 2,Half-Life 2,Nov 16 2004,0,96,35792,9,9901173,81234,5695963,61979,False,False,True,False,True,True,True,False,False,USD,9.99,9.99
Counter-Strike: Source,Counter-Strike: Source,Nov 1 2004,0,88,53931,5,15433570,100626,11472993,87251,False,False,True,False,True,True,True,False,False,USD,19.99,19.99
Half-Life: Source,Half-Life: Source,Jun 1 2004,0,0,2547,4,2983660,45027,695697,21811,True,False,True,False,True,True,True,False,False,USD,9.99,9.99
Day of Defeat: Source,Day of Defeat: Source,Jul 12 2010,0,80,7185,5,6400269,65635,2895778,44364,False,False,True,False,True,True,True,False,False,USD,9.99,9.99
Half-Life 2: Deathmatch,Half-Life 2: Deathmatch,Nov 1 2004,0,0,4328,5,14001822,96041,3598829,49409,False,False,True,False,True,True,True,False,False,USD,4.99,4.99
Half-Life 2: Lost Coast,Half-Life 2: Lost Coast,Oct 27 2005,0,0,4352,5,14844765,98771,2885376,44285,True,False,False,False,True,True,True,False,False, ,0.0,0.0
Half-Life Deathmatch: Source,Half-Life Deathmatch: Source,May 1 2006,0,0,864,5,6796273,67597,388292,16301,True,False,True,False,True,True,True,False,False,USD,9.99,9.99
Half-Life 2: Episode One,Half-Life 2: Episode One,Jun 1 2006,0,87,4437,5,6298399,65120,2478611,41068,False,False,True,False,True,True,True,False,False,USD,7.99,7.99
Portal,Portal,Oct 10 2007,0,90,27535,11,9795716,80813,6864247,67928,False,False,True,False,True,True,True,False,False,USD,9.99,9.99
Half-Life 2: Episode Two,Half-Life 2: Episode Two,Oct 10 2007,0,90,6104,5,5735062,62188,2240435,39058,False,False,True,False,True,True,True,False,False,USD,7.99,7.99
Team Fortress 2,Team Fortress 2,Oct 10 2007,0,92,383949,11,37878812,152480,37878812,152480,True,False,True,False,True,True,True,False,True, ,0.0,0.0
Left 4 Dead,Left 4 Dead,Nov 17 2008,0,89,9980,12,4473517,55021,3107949,45947,False,False,True,False,True,False,True,False,False,USD,19.99,19.99
Left 4 Dead 2,Left 4 Dead 2,Nov 16 2009,0,89,140726,17,15574539,101064,13583400,94652,False,False,True,False,True,True,True,False,False,USD,19.99,19.99
